ProductModelName,ProductCategory,ProductPrice,RetailerName,RetailerZip,RetailerCity,RetailerState,ProductOnSale,ManufacturerName,ManufacturerRebate,UserID,UserAge,UserGender,UserOccupation,ReviewRating,ReviewDate,ReviewText
Surface 3,Tablet,999,Bestbuy,94102,San Francisco,CA,No,Microsoft,No,qxntl70,39,Female,Unknown,3,8/18/2014,It completely shut down after about 10 days and had to be replaced. 
LG 65,TV,2250,Walmart,33129,Miami,FL,No,LG,No,gngvg53,52,Male,Programmer,5,8/1/2014,Free delivery. Free initial setup.
Galaxy S4,Smart Phone,390,Frys,94102,San Francisco,CA,Yes,Samsung,No,yfvna6,26,Male,Student,4,8/1/2014, Easy to use
Samsung TV 65 Curved,TV,2099,Bestbuy,60585,Naperville,IL,Yes,Samsung,No,skanc48,48,Male,Manager,4,6/25/2014,This is a lovely tv with a great picture even though I am not yet hooked up to 4k
Dell Ispiron 15.6,Laptop,349,Frys,60585,Naperville,IL,Yes,Dell,No,kwtpk76,44,Male,Secretary,3,12/5/2014,Liked windows xp better than windows 8 wish I didn't have to upgrade
Samsung Tab 4,Tablet,299,Bestbuy,94102,San Francisco,CA,Yes,Samsung,No,inrne72,51,Female,Accountant,4,9/17/2014,It is a bit jerky when moving from page to page and overly sensitive as I don't have to touch the screen for it to register a choice which can be frustrating.
HP PAVALION  15.6,Laptop,319,hhgregg,33129,Miami,FL,No,HP,No,ewpag27,40,Female,Manager,2,12/5/2014,really noisy fan.
Surface 3,Tablet,999,Frys,90033,Los Angeles,CA,No,Microsoft,No,itucb65,41,Male,Unknown,4,9/17/2014,Our company has ordered several of these.
Samsung TV 65 Curved,TV,1900,Walmart,44114,Cleveland,OH,No,Samsung,No,cgttj20,31,Male,Programmer,4,10/28/2014,Everything about the product is good but I'm not a techno kind of consumer.
LG 65,TV,849,Bestbuy,44114,Cleveland,OH,Yes,LG,Yes,oaksv27,53,Male,Programmer,5,8/21/2014,This is a wonderful addition to our living space. 
HP PAVALION  15.6,Laptop,298,hhgregg,44114,Cleveland,OH,Yes,HP,Yes,dwyvn17,20,Male,Unknown,5,8/10/2014,the experience was easy to select what I needed for a gift
HP PAVALION  15.6,Laptop,299,Target,2108,Boston,MA,Yes,HP,No,juiwu65,19,Male,Accountant,5,8/17/2014,Runs great and super fast! Lightweight and easy to transport!
Samsung Tab 4,Tablet,299,Walmart,60585,Naperville,IL,Yes,Samsung,No,uupfc54,47,Male,Accountant,2,6/25/2014,This was a good buy for my mother instead of buying an ipad
Samsung TV 60 LED,TV,1200,Frys,33129,Miami,FL,No,Samsung,No,kikhs6,26,Male,Student,2,8/21/2014,O.K! We know Samsung are great TV's. But this afternoon I spent 3 1/2 hours on the phone with five people - all of whom could not speak English worth a darn. They kept shifting me back and forth and I honestly cannot believe I endured THREE AND ONE HALF HOURS of torture and torment! One hour was just on hold - REALLY!
iPad Air,Tablet,425,hhgregg,2110,Boston,MA,Yes,Apple,No,wnvvy21,56,Female,Accountant,5,10/10/2013,So glad I finally made the purchase! I use it everyday!
Galaxy S4,Smart Phone,399,Walmart,44114,Cleveland,OH,No,Samsung,No,ydzkv69,58,Male,Unknown,4,8/21/2014,As a novice smart phone user I've found that this phone has been fairly easy to navigate. I like the picture quality and sound.
Surface 3,Tablet,999,hhgregg,94158,San Francisco,CA,No,Microsoft,No,btkvb38,41,Male,Unknown,5,2/15/2015, Very helpful device
Galaxy S4,Smart Phone,399,Bestbuy,60616,Chicago,IL,No,Samsung,No,gywiq36,49,Male,Programmer,1,11/25/2014,CPU overheats and dies after few hours of use
Dell Ispiron 15.6,Laptop,449,Walmart,60603,Chicago,IL,Yes,Dell,No,txzbv78,44,Male,Manager,4,12/5/2014, works a lot better than my old Dell
Dell Ispiron 15.6,Laptop,499,hhgregg,44114,Cleveland,OH,No,Dell,No,wtany75,25,Male,Manager,5,5/15/2013,Dell Computer is great It meets all my needs.
Galaxy S4,Smart Phone,269,Walmart,33130,Miami,FL,Yes,Samsung,Yes,gsptp57,19,Female,Programmer,4,9/17/2014, Prior to this phone I had the Galaxy 2 and there isn't a lot of difference in the 2
Samsung TV 65 Curved,TV,1900,Frys,94102,San Francisco,CA,No,Samsung,No,xctkc37,35,Female,Programmer,4,9/17/2014,nice picture but wish it had a faster refresh rate.
Galaxy S4,Smart Phone,269,Walmart,44114,Cleveland,OH,Yes,Samsung,Yes,bvngf49,22,Female,Manager,5,5/19/2014, my first phone since a flip phone
LG 65,TV,2250,Walmart,60585,Naperville,IL,No,LG,No,tvmhn6,26,Female,Programmer,4,7/10/2013, I bought this LG 65   tv from my local Bestbuy store on 2/21/15
iPhone 6,Smart Phone,960,hhgregg,44114,Cleveland,OH,No,Apple,No,ttdio14,30,Male,Programmer,4,12/5/2014, Since the last version of iOS I used was on the iPhone 4
Samsung Tab 4,Tablet,299,Bestbuy,60616,Chicago,IL,Yes,Samsung,No,lgjiv47,43,Female,Accountant,5,12/27/2014, My Samsung Galaxy Tab 4 8   tablet is very versatile. I use it for my email
Surface 3,Tablet,969,Walmart,94158,San Francisco,CA,No,Microsoft,No,vmivx52,48,Female,Student,3,4/1/2013,Camera was horrible takes very grainy pictures.
Samsung Tab 4,Tablet,299,Frys,90033,Los Angeles,CA,Yes,Samsung,No,fdbie48,47,Male,Accountant,4,5/15/2013,My wife loves it. Easy to use and the battery last longer
iPhone 6,Smart Phone,589,Frys,60585,Naperville,IL,No,Apple,No,klyoc65,45,Male,Student,5,2/15/2015,This is a major upgrade from iPhone 5. Would not look back as this is an excellent phone!
HP PAVALION  15.6,Laptop,299,Frys,60616,Chicago,IL,Yes,HP,No,gpimd15,52,Male,Unknown,4,5/15/2013,It has been great experience thus far. I use this computer for school and personal use and it does everything I need.
Samsung Tab 4,Tablet,349,Bestbuy,33129,Miami,FL,No,Samsung,No,knuso39,40,Male,Unknown,5,3/24/2014,Easy to operate and easy to read outside. Size is great to carry
iPad Air,Tablet,425,Walmart,60585,Naperville,IL,Yes,Apple,No,vrlnj33,43,Male,Student,2,5/25/2014,Ipad just stops working. There is a delay where I have to wait til its ready to work. Very frustrating.
Dell Ispiron 15.6,Laptop,349,Target,44114,Cleveland,OH,Yes,Dell,No,krzor99,38,Male,Manager,1,5/26/2014,very noisy fan.
LG 65,TV,2250,Walmart,90012,Los Angeles,CA,No,LG,No,cxczg21,43,Male,Programmer,4,2/15/2014,Nice TV but hard to get used to the LED picture at first.
iPhone 6,Smart Phone,299,Target,60603,Chicago,IL,Yes,Apple,No,rqrxq44,48,Male,Accountant,5,7/19/2014, I would recommend the iPhone 6
Dell Ispiron 15.6,Laptop,499,Frys,94158,San Francisco,CA,No,Dell,No,rpptr79,22,Male,Programmer,5,3/24/2014,This is my first laptop and It's the best. I got it for the cheapest price.
HP PAVALION  15.6,Laptop,319,Target,2108,Boston,MA,No,HP,No,hqrgf79,47,Male,Student,4,6/18/2014,Its a nice computer but windows 8 is alittle more complex than I need or wanted.
Samsung Tab 4,Tablet,349,hhgregg,60585,Naperville,IL,No,Samsung,No,oysel55,25,Female,Student,4,6/19/2014,This unit is just the right size easy to hold and nice screen.
Samsung TV 60 LED,TV,1100,Walmart,60603,Chicago,IL,Yes,Samsung,No,udjrc4,57,Male,Programmer,5,10/10/2013,3D..240hz..1080p..960 clear motion rate..Smart TV..and the smart remote is the best
LG 65,TV,2250,hhgregg,33129,Miami,FL,No,LG,No,bcteb90,58,Male,Unknown,2,9/20/2014, I really wanted to like this TV it's a great size and decent price but after exchanging it Twice because of the   halo   on screen we had to give in and get a different brand.  
iPad Air,Tablet,499,Walmart,60585,Naperville,IL,No,Apple,No,aqqbz54,54,Female,Unknown,4,6/18/2014,My old iPad was wearing out. Transfer from my old to the new was easy.
Samsung Tab 4,Tablet,299,Walmart,90012,Los Angeles,CA,Yes,Samsung,No,qtapw49,34,Male,Programmer,5,11/25/2014,It is light weight and Easy to use! The Samsung Reps. are so good to help and it is so nice to have them in you store. Cannot wait to attend there free classes Thank You Carol
Samsung TV 60 LED,TV,1100,Bestbuy,94102,San Francisco,CA,Yes,Samsung,No,mjrwz43,55,Male,Programmer,4,9/24/2014,Took some time to get use to the movement on the screen
Galaxy S4,Smart Phone,390,Walmart,2109,Boston,MA,Yes,Samsung,No,vjihu30,43,Male,Student,5,2/1/2013,there was a great price on this phone when I bought it. the features are great
Galaxy S4,Smart Phone,402,Frys,2108,Boston,MA,No,Samsung,No,ezwzk80,58,Male,Manager,5,6/26/2014,This is a great phone for any customer! The camera is great too. Takes wonderful pictures - and has many different features!
Samsung TV 60 LED,TV,1100,Target,94102,San Francisco,CA,Yes,Samsung,No,tvcqx95,45,Male,Accountant,5,7/19/2014, We like it very much. We have not had a flat screen until this one
LG 65,TV,849,Frys,44114,Cleveland,OH,Yes,LG,Yes,gafhm9,32,Female,Accountant,5,2/26/2014, Great price for the amount of features for this middle of the line 65   LG. 
Surface 3,Tablet,925,hhgregg,33129,Miami,FL,No,Microsoft,No,towlu32,18,Female,Programmer,1,6/18/2013,The mouse is very shaky. 
Surface 3,Tablet,999,Target,60616,Chicago,IL,No,Microsoft,No,fjook35,59,Male,Manager,4,12/5/2014,Enjoy the portability as a traveler.
Dell Ispiron 15.6,Laptop,499,Walmart,94158,San Francisco,CA,No,Dell,No,fyyul56,32,Female,Manager,5,4/19/2014,Battery life is the best.
HP PAVALION  15.6,Laptop,299,Walmart,33129,Miami,FL,Yes,HP,No,jeywt24,51,Female,Manager,3,9/20/2014,Great laptop for not a lot of money. Would recommend
Samsung TV 60 LED,TV,1100,hhgregg,2110,Boston,MA,Yes,Samsung,No,hkqvg64,41,Male,Secretary,4,10/21/2014,Easy to set up and good quality.
Samsung Tab 4,Tablet,349,Walmart,44114,Cleveland,OH,No,Samsung,No,ruwkt23,50,Female,Accountant,4,12/20/2014,I purchased this tablet which is a perfect size to use with one or two hands.
Samsung TV 60 LED,TV,1100,Target,94158,San Francisco,CA,Yes,Samsung,No,rnkov18,44,Male,Accountant,4,8/1/2014, The day I got this TV
Samsung TV 60 LED,TV,1100,Walmart,2110,Boston,MA,Yes,Samsung,No,epxoq9,48,Male,Manager,3,6/18/2014, We took it back and exchanged it for a different TV
LG 65,TV,999,Walmart,60603,Chicago,IL,No,LG,No,dgqrv79,42,Female,Unknown,4,5/23/2014, I love picture quality
Samsung Tab 4,Tablet,349,Bestbuy,60603,Chicago,IL,No,Samsung,No,txjvo9,55,Female,Secretary,5,8/18/2014, The best table ever
iPhone 6,Smart Phone,399,Target,33129,Miami,FL,No,Apple,No,hocwn35,25,Male,Student,1,8/10/2013,CPU overheats and dies after few hours of use
Samsung Tab 4,Tablet,349,Frys,33129,Miami,FL,No,Samsung,No,vsosb32,58,Male,Student,4,7/19/2014, I bought this tablet for my daughter
Surface 3,Tablet,899,Walmart,94158,San Francisco,CA,Yes,Microsoft,No,rcvzp90,18,Female,Programmer,5,8/10/2013,I have to admit the price seems high but with all the great top notch hardware packed in this light form factor it truly is a great machine.
iPhone 6,Smart Phone,589,Target,94102,San Francisco,CA,No,Apple,No,tiojc57,45,Male,Unknown,4,6/18/2014,so far this has been a good phone and have had no problems
Dell Ispiron 15.6,Laptop,349,Walmart,60616,Chicago,IL,Yes,Dell,No,xoofz16,25,Male,Unknown,5,10/21/2014, It is fast
Galaxy S4,Smart Phone,390,hhgregg,60616,Chicago,IL,Yes,Samsung,No,dknjz25,19,Female,Programmer,4,10/28/2014, This is only my 3rd smart phone
Surface 3,Tablet,899,hhgregg,60616,Chicago,IL,Yes,Microsoft,No,cbfqj41,38,Male,Secretary,4,9/20/2014,If you are looking for a tablet with laptop capabilities the surface pro 3 is great! 
iPad Air,Tablet,425,hhgregg,33129,Miami,FL,Yes,Apple,No,ovpxr72,40,Male,Unknown,5,8/1/2014, i made the mistake of buying another brand of tablet
Samsung Tab 4,Tablet,299,Bestbuy,33129,Miami,FL,Yes,Samsung,No,mldsl90,58,Male,Manager,4,8/21/2014,We like the item we purchased. We both make good use of the item.
Surface 3,Tablet,925,Frys,60616,Chicago,IL,No,Microsoft,No,qdxlj62,39,Male,Accountant,4,6/18/2014,I no longer need my old laptop.
iPad Air,Tablet,499,Walmart,94158,San Francisco,CA,No,Apple,No,kdimy84,27,Male,Programmer,5,2/15/2015,Very nice iPad. Saved $100 on this iPad because it is not the latest version with touchID. Perfect size iPad and I have had both the Retina mini and the larger 4th generation iPad.
LG 65,TV,999,Frys,44114,Cleveland,OH,No,LG,No,juwcl29,53,Male,Secretary,5,5/23/2014,This has a great picture and for the price it was an excellent purchase!
Samsung Tab 4,Tablet,299,Bestbuy,60603,Chicago,IL,Yes,Samsung,No,toshi98,47,Male,Unknown,4,4/19/2014, if you are in the market for an affordable tablet for ebooks
HP PAVALION  15.6,Laptop,376,Bestbuy,90012,Los Angeles,CA,No,HP,No,gkgkl66,59,Female,Unknown,5,7/21/2014,I'm quite happy with the PC. It has adequate speed for my needs.
Dell Ispiron 15.6,Laptop,349,Target,90033,Los Angeles,CA,Yes,Dell,No,ebeer51,25,Female,Accountant,5,11/29/2014, I love the feel of the keyboard and the mouse pad. I use it for personal and work from home needs - it is comfortable to use on a table
Samsung TV 65 Curved,TV,1899,Bestbuy,90033,Los Angeles,CA,Yes,Samsung,Yes,cqzbn72,58,Female,Manager,4,12/14/2014,Bought new TV & refrigerator as moving into new house
Dell Ispiron 15.6,Laptop,449,hhgregg,90033,Los Angeles,CA,Yes,Dell,No,omsdk39,56,Male,Secretary,3,6/18/2014,I gave this as a gift. It has been a little troublesome with battery. But manufacturer is working with us.
iPad Air,Tablet,425,Walmart,94158,San Francisco,CA,Yes,Apple,No,rymjs43,30,Male,Unknown,5,8/18/2014,I wish i purchase it well in advance but it was one of my best purchase
LG 65,TV,999,Bestbuy,44114,Cleveland,OH,No,LG,No,iqdjg14,23,Male,Student,3,3/24/2014,The TV is very user-friendly however it does not seem to have all of the bells and whistles that I assumed it would have. 
Samsung Tab 4,Tablet,299,hhgregg,44114,Cleveland,OH,Yes,Samsung,No,lxtrj17,31,Male,Manager,3,10/10/2013, I was expecting more.... I guess because I've been an apple customer Samsung doesn't do it for me
HP PAVALION  15.6,Laptop,299,Bestbuy,60603,Chicago,IL,Yes,HP,No,umlpy85,23,Female,Unknown,4,5/12/2014,I love this laptop!!! It's a lightweight compared to its size. It can do all I need from a laptop!!
Samsung TV 65 Curved,TV,1899,Frys,60603,Chicago,IL,Yes,Samsung,Yes,qzmia6,18,Female,Manager,4,5/15/2013,1080p cable is still pretty blurry with the 4K but I'm sure when it comes into the industry it will be worth the 4K purchase. 
HP PAVALION  15.6,Laptop,319,Walmart,90033,Los Angeles,CA,No,HP,No,chpmv14,23,Male,Programmer,5,2/15/2015, This computer/lap top is exactly what my son needed. Great sound
iPhone 6,Smart Phone,589,Bestbuy,60585,Naperville,IL,No,Apple,No,rokiq78,59,Female,Secretary,4,11/25/2014,All the pros of an iphone - great storage and speed.
HP PAVALION  15.6,Laptop,298,Frys,94158,San Francisco,CA,Yes,HP,Yes,btxwk63,51,Female,Manager,5,7/16/2014, This laptop is great. The one I replaced was about 5 yrs old & had Vista
Samsung TV 65 Curved,TV,1899,Frys,94158,San Francisco,CA,Yes,Samsung,Yes,uxwwe25,57,Male,Student,4,10/21/2014, Great picture
Dell Ispiron 15.6,Laptop,449,Walmart,94158,San Francisco,CA,Yes,Dell,No,ogzwl92,32,Male,Manager,5,8/21/2014,CPU overheats and dies after few hours of use
Dell Ispiron 15.6,Laptop,449,hhgregg,90033,Los Angeles,CA,Yes,Dell,No,zadkz90,28,Male,Student,5,8/1/2014,would recommend to other people and let them know Bestbuy is great place
Samsung Tab 4,Tablet,349,hhgregg,90033,Los Angeles,CA,No,Samsung,No,bupol55,19,Female,Student,5,2/14/2014, This tablet is the perfect size
Samsung TV 60 LED,TV,1200,hhgregg,94158,San Francisco,CA,No,Samsung,No,xroxh27,50,Male,Secretary,3,6/10/2014,Good quality and refresh rate for the money. Smart tv options are limited and slow. TV sometimes won't let me watch Netflix. Regular cable is good to go.
iPad Air,Tablet,425,Frys,33129,Miami,FL,Yes,Apple,No,lcbsb26,40,Male,Student,5,12/27/2014, Light weight and very fast
HP PAVALION  15.6,Laptop,376,hhgregg,44114,Cleveland,OH,No,HP,No,dwlpc51,23,Male,Unknown,4,2/15/2015,Replaced older PC with XP. Little hard to get used to operating system since use another operating systemm at work but after a while it works good.
LG 65,TV,999,hhgregg,33129,Miami,FL,No,LG,No,pmmhg97,52,Male,Secretary,5,10/17/2014,Awesome HDTV for the price.
iPhone 6,Smart Phone,589,Target,60616,Chicago,IL,No,Apple,No,wwuxs27,41,Male,Unknown,5,10/21/2014,So happy I got my iPhone 6 this is probably y my 6th iPhone i just keep looking forward for new ones to come! Great quality and design
HP PAVALION  15.6,Laptop,298,Bestbuy,44114,Cleveland,OH,Yes,HP,Yes,rgtvx95,20,Male,Accountant,5,5/12/2014, I like the laptop and plus the kids
Galaxy S4,Smart Phone,269,hhgregg,44114,Cleveland,OH,Yes,Samsung,Yes,aalab66,54,Male,Student,4,8/18/2014, Great smartphone
Samsung Tab 4,Tablet,349,Target,90033,Los Angeles,CA,No,Samsung,No,cwqnt17,59,Male,Unknown,5,8/21/2014, Got it for my mother
iPhone 6,Smart Phone,399,Frys,60603,Chicago,IL,No,Apple,No,qzciq16,27,Female,Accountant,5,3/10/2015,Really Nice! It's not that much big for your hand. I love it!
Samsung Tab 4,Tablet,299,Walmart,60603,Chicago,IL,Yes,Samsung,No,xhcce9,26,Female,Accountant,5,5/15/2013,This is a great tablet. It has all the best apps and plays all my digital movie files
Samsung Tab 4,Tablet,299,Bestbuy,94158,San Francisco,CA,Yes,Samsung,No,yzjtj87,46,Female,Accountant,3,9/17/2014, This tablet has a crystal clear display
iPad Air,Tablet,499,Target,94102,San Francisco,CA,No,Apple,No,ncgux50,24,Male,Unknown,5,8/10/2013, but the ipad case is not so good
Dell Ispiron 15.6,Laptop,449,hhgregg,44114,Cleveland,OH,Yes,Dell,No,vlnlj69,29,Female,Secretary,5,12/27/2014, I purchased this computer for my son to use in school. No issues
Samsung TV 65 Curved,TV,1900,Target,33130,Miami,FL,No,Samsung,No,jcozt6,48,Male,Secretary,4,2/15/2015, The TV is absolutely beautiful
Samsung Tab 4,Tablet,349,Walmart,94102,San Francisco,CA,No,Samsung,No,pgxvk84,27,Male,Accountant,1,12/27/2014,CPU overheats and dies after few hours of use
Galaxy S4,Smart Phone,269,Walmart,60603,Chicago,IL,Yes,Samsung,Yes,dhvcy50,43,Male,Secretary,4,6/25/2014,Love this phone even with the battery issue. I like it more than my old iphone.
LG 65,TV,999,Walmart,2110,Boston,MA,No,LG,No,vlhhp24,20,Male,Programmer,4,8/18/2014,It's a good picture but the shadow on hockey games or anything with a light colored background is annoying
HP PAVALION  15.6,Laptop,319,Walmart,94102,San Francisco,CA,No,HP,No,gqclh21,49,Male,Accountant,4,12/20/2014,We got a great deal on this computer. It was easy to set up and ready to go in short order.
Samsung Tab 4,Tablet,299,hhgregg,94158,San Francisco,CA,Yes,Samsung,No,rhbnf62,33,Female,Programmer,3,2/15/2015,Love just about everything about this tablet. Obviously it sinks well with my Galaxy 5S phone. The only problem is it's 16 GB 
Samsung Tab 4,Tablet,349,Frys,94158,San Francisco,CA,No,Samsung,No,llehs10,34,Female,Student,4,10/10/2013,I bought this for my son over the holidays and he loves it. It is very user friendly. My family loves android products. It works well with the Samsung Galaxy phone as well.
Samsung TV 60 LED,TV,1100,Target,33130,Miami,FL,Yes,Samsung,No,tekyy48,50,Male,Secretary,3,5/24/2014, It got to the point where HULU and Netflix wouldn't work at all
Galaxy S4,Smart Phone,399,Walmart,90012,Los Angeles,CA,No,Samsung,No,fwppr25,54,Male,Unknown,5,6/10/2014, Very easy phone to learn. It's fast
Samsung TV 60 LED,TV,1200,Walmart,60616,Chicago,IL,No,Samsung,No,hqqpv14,31,Male,Programmer,4,10/28/2014, I wish the smart TV in her face was a little better
Samsung TV 65 Curved,TV,1799,Walmart,94158,San Francisco,CA,Yes,Samsung,Yes,unoyo25,54,Female,Secretary,2,3/24/2014,Take it home and flex its muscles all you can.
iPad Air,Tablet,299,Frys,90033,Los Angeles,CA,Yes,Apple,Yes,fhilw17,53,Male,Accountant,5,5/24/2014,Upgraded from iPad first generation! Wow! Totally worth the upgrade! Super fast and plentiful space for apps!
iPhone 6,Smart Phone,589,Walmart,94102,San Francisco,CA,No,Apple,No,ieeie71,18,Male,Accountant,4,5/15/2013,I love my new phone and all the new features it offers.
LG 65,TV,849,Frys,44114,Cleveland,OH,Yes,LG,Yes,tzirt9,28,Male,Manager,2,8/10/2014, This tv doesn't have all the bells and whistles
Samsung TV 65 Curved,TV,1900,hhgregg,2108,Boston,MA,No,Samsung,No,biruh34,51,Female,Unknown,5,4/19/2014, I originally bought the 55   TV and within a couple of weeks
iPad Air,Tablet,425,Target,60603,Chicago,IL,Yes,Apple,No,qmnpa83,38,Female,Manager,5,8/21/2014,I love my new iPad. The colors and pictures are amazing. Would recommend.
HP PAVALION  15.6,Laptop,319,Walmart,2110,Boston,MA,No,HP,No,mihlf49,57,Male,Manager,5,3/24/2014,When we head to our meeting we have all our information at our finger tips. It's great.
HP PAVALION  15.6,Laptop,298,Target,94158,San Francisco,CA,Yes,HP,Yes,dbcjy72,19,Male,Unknown,5,12/27/2014,I am very happy with my laptop. I would recommend it to anyone
HP PAVALION  15.6,Laptop,298,hhgregg,60616,Chicago,IL,Yes,HP,Yes,iczus44,41,Male,Student,5,12/1/2014,Buying a New computer is stressful. So far so good. I really like the touch screen and have gotten used to Windows 8.
LG 65,TV,849,hhgregg,2108,Boston,MA,Yes,LG,Yes,ainqj56,19,Male,Student,3,8/10/2013,Tv has good sound and good picture except a couple of areas on the screen seem to stay lighter in color/blotchy. 
Galaxy S4,Smart Phone,269,Walmart,2110,Boston,MA,Yes,Samsung,Yes,yryjw17,21,Male,Accountant,4,7/23/2014, Decent phone
Surface 3,Tablet,899,Frys,60616,Chicago,IL,Yes,Microsoft,No,lzcqf22,30,Female,Unknown,1,2/15/2014,overheated after 5 hours of use and stopped working
iPad Air,Tablet,499,hhgregg,44114,Cleveland,OH,No,Apple,No,wzlqa14,57,Male,Programmer,4,4/19/2014,It was exactly what we needed without logging into our computer.
Dell Ispiron 15.6,Laptop,349,Bestbuy,60616,Chicago,IL,Yes,Dell,No,uwguw88,47,Male,Accountant,5,4/1/2015, This laptop is all I expected
HP PAVALION  15.6,Laptop,376,Bestbuy,90012,Los Angeles,CA,No,HP,No,jzzmw97,37,Male,Programmer,5,12/27/2014,My only complaint is regarding electronics in general. There are no handbooks or any kind of directions.
Galaxy S4,Smart Phone,399,Target,90012,Los Angeles,CA,No,Samsung,No,lbqks30,51,Male,Manager,5,8/18/2014, I absolutely love this phone
iPhone 6,Smart Phone,299,Target,60585,Naperville,IL,Yes,Apple,No,ntbxv22,27,Female,Programmer,4,10/21/2014, The new iPhone 6 has been good to me so far. I love the sleek
Samsung TV 60 LED,TV,1200,hhgregg,94158,San Francisco,CA,No,Samsung,No,nozxz74,54,Male,Programmer,2,6/18/2014, What's not so great
iPad Air,Tablet,299,Bestbuy,2110,Boston,MA,Yes,Apple,Yes,qztsf98,44,Male,Manager,5,8/21/2014,The device is very easy to use yet comes jam packed with bells and whistles.
LG 65,TV,2250,Bestbuy,94102,San Francisco,CA,No,LG,No,mfkpq78,31,Male,Accountant,1,9/17/2014,Highly suggest you avoid this model
